district,price,lon,lat,floor_area,number_floors,room_number,number_bathroom,school_district,rate,distance_metro,distance_hospital,distance_sea
440306,39235,113.82701,22.76321,80.16,33,2,1,0,0,1007.066142,2958.782194,20859.7154
440306,44944,113.82702,22.76322,89,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,45929,113.82703,22.76323,89.27,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,46512,113.82704,22.76324,129,33,4,2,0,0,1007.066142,2958.782194,20859.7154
440306,46769,113.82705,22.76325,89.59,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,48393,113.82706,22.76326,89.27,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,48729,113.82707,22.76327,89.27,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,49311,113.82708,22.76328,89.23,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,51736,113.82709,22.76329,89.59,33,3,1,0,0,1007.066142,2958.782194,20859.7154
440306,54960,113.8271,22.7633,77.33,33,2,1,0,0,1007.066142,2958.782194,20859.7154
440306,55929,113.82711,22.76331,89.4,33,3,2,0,0,1007.066142,2958.782194,20859.7154
440306,56138,113.82712,22.76332,80.16,33,2,1,0,0,1007.066142,2958.782194,20859.7154
440306,56461,113.82713,22.7632,76.16,33,2,1,0,0,1007.066142,2958.782194,20859.7154
440306,56857,113.82714,22.76319,87.94,33,3,1,0,0,1007.066142,2958.782194,20859.7154
440306,57805,113.82715,22.76318,77.33,33,2,1,0,0,1007.066142,2958.782194,20859.7154
440307,34656,114.281551,22.75192,88.01,33,3,2,0,0,2420.399249,1559.339176,16971.99508
440307,39896,114.281552,22.75193,88.23,32,4,2,0,0,2420.399249,1559.339176,16971.99508
440307,14154,114.279,22.75051,140.6,24,3,2,0,0,2189.060315,1377.893272,16891.12537
440307,23274,114.27901,22.75052,107.42,6,3,1,0,0,2189.060315,1377.893272,16891.12537
440307,26748,114.27902,22.75053,77.39,28,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,27381,114.27903,22.75054,81.08,28,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,29982,114.27904,22.75055,86.72,28,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,30688,114.27905,22.75056,81.14,6,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,32371,114.27906,22.75057,57.15,17,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,34151,114.27907,22.75058,86.91,28,3,1,0,0,2189.060315,1377.893272,16891.12537
440307,37243,114.27908,22.75059,80.5,6,2,1,0,0,2189.060315,1377.893272,16891.12537
440307,38221,114.27909,22.7505,86.21,24,3,1,0,0,2189.060315,1377.893272,16891.12537
440309,11900,114.023452,22.74754,17.48,12,1,1,0,0,4131.233787,8836.759803,10389.7221
440309,12014,114.023453,22.74755,17.48,22,1,1,0,0,4131.233787,8836.759803,10389.7221
440309,15904,114.023454,22.747541,17.48,12,1,1,0,0,4131.233787,8836.759803,10389.7221
440307,28456,114.27991,22.74621,31.98,6,1,1,0,0,1775.837367,911.0843253,16409.94412
440307,29067,114.27992,22.74622,65.54,6,3,1,0,0,1775.837367,911.0843253,16409.94412
